property,description
video.bit_rate.play_addr.file_cs,-unknown-
video.bit_rate.play_addr.file_hash,-unknown-
video.bit_rate.play_addr.height,-unknown-
video.bit_rate.play_addr.uri,-unknown-
video.bit_rate.play_addr.url_key,-unknown-
video.bit_rate.play_addr.width,-unknown-
video.bit_rate.quality_type,-unknown-
video.cdn_url_expired,-unknown-
video.cla_info.caption_infos.caption_format,-unknown-
video.cla_info.caption_infos.cla_subtitle_id,-unknown-
video.cla_info.caption_infos.complaint_id,-unknown-
video.cla_info.caption_infos.expire,-unknown-
video.cla_info.caption_infos.is_auto_generated,-unknown-
video.cla_info.caption_infos.is_original_caption,-unknown-
video.cla_info.caption_infos.lang,-unknown-
video.cla_info.caption_infos.language_code,-unknown-
video.cla_info.caption_infos.language_id,-unknown-
video.cla_info.caption_infos.sub_id,-unknown-
video.cla_info.caption_infos.sub_version,-unknown-
video.cla_info.caption_infos.translator_id,-unknown-
video.cla_info.caption_infos.url,-unknown-
video.cla_info.captions_type,-unknown-
video.cla_info.creator_edited_caption_id,-unknown-
video.cla_info.enable_auto_caption,-unknown-
video.cla_info.has_original_audio,-unknown-
video.cla_info.hide_original_caption,-unknown-
video.cla_info.no_caption_reason,-unknown-
video.cla_info.original_language_info.can_translate_realtime,-unknown-
video.cla_info.original_language_info.is_burnin_caption,-unknown-
video.cla_info.original_language_info.lang,-unknown-
video.cla_info.original_language_info.language_code,-unknown-
video.cla_info.original_language_info.language_id,-unknown-
video.cla_info.original_language_info.original_caption_type,-unknown-
video.cla_info.vertical_positions,-unknown-
video.cover_is_custom,-unknown-
video.cover.height,-unknown-
video.cover.uri,-unknown-
video.cover.width,-unknown-
video.CoverTsp,-unknown-
video.download_addr.data_size,-unknown-
video.download_addr.height,-unknown-
video.download_addr.uri,-unknown-
video.download_addr.width,-unknown-
video.duration,Duration in seconds
video.dynamic_cover.height,-unknown-
video.dynamic_cover.uri,-unknown-
video.dynamic_cover.width,-unknown-
video.has_watermark,-unknown-
video.height,Vertical size in pixels
video.is_bytevc1,Codec is ByteVC1
video.is_callback,-unknown-
video.is_long_video,-unknown-
video.meta,-unknown-
video.misc_download_addrs,-unknown-
video.need_set_token,-unknown-
video.origin_cover.height,-unknown-
video.origin_cover.uri,-unknown-
video.origin_cover.width,-unknown-
video.play_addr_bytevc1.data_size,-unknown-
video.play_addr_bytevc1.file_cs,-unknown-
video.play_addr_bytevc1.file_hash,-unknown-
video.play_addr_bytevc1.height,-unknown-
video.play_addr_bytevc1.uri,-unknown-
video.play_addr_bytevc1.url_key,-unknown-
video.play_addr_bytevc1.width,-unknown-
video.play_addr_h264.data_size,-unknown-
video.play_addr_h264.file_cs,-unknown-
video.play_addr_h264.file_hash,-unknown-
video.play_addr_h264.height,-unknown-
video.play_addr_h264.uri,-unknown-
video.play_addr_h264.url_key,-unknown-
video.play_addr_h264.width,-unknown-
video.play_addr.data_size,-unknown-
video.play_addr.file_cs,-unknown-
video.play_addr.file_hash,-unknown-
video.play_addr.height,-unknown-
video.play_addr.uri,-unknown-
video.play_addr.url_key,-unknown-
video.play_addr.width,-unknown-
video.ratio,-unknown-
video.source_HDR_type,-unknown-
video.tags,-unknown-
video.video_model,-unknown-
video.width,Horizontal size in pixels
voice_filter_ids,-unknown-
with_promotional_music,-unknown-
without_watermark,-unknown-
