property,description
author.duet_setting,-unknown-
author.enterprise_verify_reason,-unknown-
author.events,-unknown-
author.favoriting_count,-unknown-
author.fb_expire_time,-unknown-
author.follow_status,-unknown-
author.follower_count,Number of accounts that follow user
author.follower_status,-unknown-
author.followers_detail,-unknown-
author.following_count,Number of accounts that the user follows
author.friends_status,-unknown-
author.geofencing,-unknown-
author.google_account,Google account username
author.has_email,-unknown-
author.has_facebook_token,-unknown-
author.has_insights,-unknown-
author.has_orders,-unknown-
author.has_twitter_token,-unknown-
author.has_youtube_token,-unknown-
author.hide_search,-unknown-
author.homepage_bottom_toast,-unknown-
author.ins_id,-unknown-
author.is_ad_fake,-unknown-
author.is_block,-unknown-
author.is_discipline_member,-unknown-
author.is_phone_binded,-unknown-
author.is_star,-unknown-
author.item_list,-unknown-
author.language,-unknown-
author.live_agreement,-unknown-
author.live_commerce,-unknown-
author.live_verify,-unknown-
author.mention_status,-unknown-
author.mutual_relation_avatars,-unknown-
author.need_points,-unknown-
author.need_recommend,-unknown-
author.nickname,User display name
author.platform_sync_info,-unknown-
author.prevent_download,-unknown-
author.qa_status,-unknown-
author.react_setting,-unknown-
author.region,-unknown-
author.relative_users,-unknown-
author.room_id,-unknown-
author.search_highlight,-unknown-
author.sec_uid,-unknown-
author.secret,-unknown-
author.share_info.now_invitation_card_image_urls,-unknown-
author.share_info.share_desc,-unknown-
author.share_info.share_desc_info,-unknown-
author.share_info.share_qrcode_url.height,-unknown-
author.share_info.share_qrcode_url.uri,-unknown-
author.share_info.share_qrcode_url.width,-unknown-
author.share_info.share_title,-unknown-
author.share_info.share_title_myself,-unknown-
author.share_info.share_title_other,-unknown-
author.share_info.share_url,-unknown-
author.share_qrcode_uri,-unknown-
author.shield_comment_notice,-unknown-
author.shield_digg_notice,-unknown-
author.shield_edit_field_info,-unknown-
author.shield_follow_notice,-unknown-
author.short_id,-unknown-
author.show_image_bubble,-unknown-
author.signature,User bio
author.special_account.special_account_list,-unknown-
author.special_account.tt_now.tt_now_log_status,-unknown-
author.special_lock,-unknown-
author.status,-unknown-
author.stitch_setting,-unknown-
author.story_status,-unknown-
author.total_favorited,-unknown-
author.tw_expire_time,-unknown-
author.twitter_id,Twitter id number
author.twitter_name,Twitter display name
author.uid,-unknown-
author.unique_id,Unique user id
