"data.ad.id";"data.ad.name";"data.ad.first_shown_date";"data.ad.last_shown_date";"data.ad.estimated_audience";"data.advertiser.name";"data.advertiser.adv_biz_ids";"data.advertiser.registry_location";"data.advertiser.sponsor";"data.targeting.location.total_impressions";"data.targeting.location.data";"data.targeting.age";"data.targeting.gender";"data.targeting.target_audience_size";"data.targeting.audience";"data.targeting.interest"
1763699563493393;"SPD Frankfurt";1681948800000;1682035200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '21K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': False, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"10.0M-12.2M";"No";"Games, Vehicles & Transportation, News & Entertainment"
1763672107989010;"SPD Frankfurt";1681948800000;1682035200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '14K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': False, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': False, 'male': True, 'unknown': False}]";"4.3M-5.3M";"No";"Games"
1763817080144929;"SPD Frankfurt";1682035200000;1682121600000;"1K-10K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1763816834699281;"SPD Frankfurt";1682035200000;1682121600000;"1K-10K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"1K-10K";"[{'region': 'DE', 'impressions': '3K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1763787275442177;"SPD Frankfurt";1682035200000;1682035200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '16K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.9M-41.5M";"No";
1763771783182369;"SPD Frankfurt";1682035200000;1682035200000;"1K-10K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"1K-10K";"[{'region': 'DE', 'impressions': '5K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1763642908975122;"SPD Frankfurt";1681948800000;1681948800000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '15K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': False, 'male': True, 'unknown': False}]";"15.5M-19.0M";"No";
1763642248905777;"SPD Frankfurt";1681948800000;1681948800000;"1K-10K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"1K-10K";"[{'region': 'DE', 'impressions': '7K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': False, 'unknown': False}]";"17.7M-21.7M";"No";
1763641857298481;"SPD Frankfurt";1681948800000;1681948800000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '15K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': False, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': False, 'male': True, 'unknown': False}]";"12.6M-15.4M";"No";
1762497212787766;"afd_goeppingen";1680825600000;1680912000000;"1K-10K";"afd_goeppingen";7170965354653480000;"Germany";"afd_goeppingen";"1K-10K";"[{'region': 'DE', 'impressions': '2K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"44.7M-54.7M";"No";
1761344701365266;"SPD Frankfurt";1679702400000;1679875200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '47K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': False, 'unknown': False}]";"17.7M-21.7M";"No";
1761283129593890;"SPD Frankfurt";1679616000000;1679788800000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '47K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"33.2M-40.6M";"No";
1761283174815794;"SPD Frankfurt";1679616000000;1679875200000;"10K-100K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"10K-100K";"[{'region': 'DE', 'impressions': '73K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': False, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"27.7M-33.8M";"No";
1770524396668998;"daniel_liebetruth.spd";1688428800000;1688688000000;"0-1K";"daniel_liebetruth.spd";7181591082415800000;"Germany";"daniel_liebetruth.spd";"0-1K";"[{'region': 'DE', 'impressions': '0-1K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";"15.6M-19.1M";"No";"Education, News & Entertainment, Sports & Outdoors"
1775780173133857;"SPD Frankfurt";1693440000000;1693440000000;"0-1K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"0-1K";"[{'region': 'DE', 'impressions': '0-1K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': False, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': False, 'unknown': False}]";;"No";
1775778731908097;"SPD Frankfurt";1693440000000;1693440000000;"0-1K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"0-1K";"[{'region': 'DE', 'impressions': '0-1K'}]";"[{'region': 'DE', '13-17': True, '18-24': True, '25-34': True, '35-44': False, '45-54': False, '55+': False}]";"[{'region': 'DE', 'female': True, 'male': False, 'unknown': False}]";;"No";
1775776781519889;"SPD Frankfurt";1693440000000;1693440000000;"0-1K";"SPD Frankfurt";7199644370751160000;"Germany";"SPD Frankfurt";"0-1K";"[{'region': 'DE', 'impressions': '0-1K'}]";"[{'region': 'DE', '13-17': False, '18-24': True, '25-34': True, '35-44': True, '45-54': True, '55+': True}]";"[{'region': 'DE', 'female': True, 'male': True, 'unknown': True}]";;"No";
